Fund,Fund Description,Department,Department Description,Business Unit,Business Unit Description,Object Account,Object Account Description,FY14 Budgeted Expenses,FY14 Actual Expenses,FY15 Budgeted Expenses,FY15 Actual Expenses,FY16 Budgeted Expenses,FY16 Actual Expenses,FY17 Budgeted Expenses,FY17 Actual Expenses,FY18 Budgeted Expenses,FY18 Actual Expenses,FY19 Budgeted Expenses,FY19 Actual Expenses
10101,GSD General,1,Administrative,01101142,JUS Youth Violence Init,505320,Contribute/Grant Agency,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50000.00,50000.00
10101,GSD General,1,Administrative,01101143,ADM Coordntd Pre-K Initiative,505320,Contribute/Grant Agency,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,400000.00,354028.66
10101,GSD General,1,Administrative,01101145,ADM TCRS Pension Contribution,501177,Employer Pension,37900.00,37844.00,37900.00,37164.00,37900.00,37164.00,39000.00,37164.00,39000.00,37572.00,39000.00,37620.00
10101,GSD General,1,Administrative,01101150,ADM Metro Telecomm Adjustments,502957,Telecmmnct'n Charge,186100.00,0.00,43900.00,0.00,43900.00,0.00,43900.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101180,ADM Relocation Metro Agencies,502252,Building Relocation,3500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101204,ADM Metro Action Commission,531001,Transfer Operational,4000000.00,4000000.00,4000000.00,4000000.00,4304000.00,4304000.00,4921900.00,4921900.00,5312100.00,5312100.00,5474900.00,5474900.00
10101,GSD General,1,Administrative,01101213,ADM NCAC Local Match,501101,Regular Pay,0.00,0.00,0.00,0.00,0.00,0.00,48100.00,35379.80,48100.00,46699.01,48100.00,42218.27
10101,GSD General,1,Administrative,01101213,ADM NCAC Local Match,501102,Leave Pay,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1883.26
10101,GSD General,1,Administrative,01101213,ADM NCAC Local Match,501107,Other Special Pay,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3000.64,0.00,0.00
10101,GSD General,1,Administrative,01101213,ADM NCAC Local Match,501172,Employer OASDI,0.00,0.00,0.00,0.00,0.00,0.00,3000.00,2123.73,3000.00,2973.15,3000.00,2659.46
10101,GSD General,1,Administrative,01101213,ADM NCAC Local Match,501173,Employer SSN Medical,0.00,0.00,0.00,0.00,0.00,0.00,700.00,496.69,700.00,695.34,700.00,621.97
10101,GSD General,1,Administrative,01101213,ADM NCAC Local Match,501174,Employer Group Health,0.00,0.00,0.00,0.00,0.00,0.00,11000.00,4514.70,11000.00,6719.79,11000.00,4878.00
10101,GSD General,1,Administrative,01101213,ADM NCAC Local Match,501175,Employer Dental Group,0.00,0.00,0.00,0.00,0.00,0.00,500.00,240.43,500.00,393.53,500.00,249.18
10101,GSD General,1,Administrative,01101213,ADM NCAC Local Match,501176,Employer Group Life,0.00,0.00,0.00,0.00,0.00,0.00,200.00,120.44,200.00,170.40,200.00,127.80
10101,GSD General,1,Administrative,01101213,ADM NCAC Local Match,501177,Employer Pension,0.00,0.00,0.00,0.00,0.00,0.00,5900.00,4365.87,5900.00,6132.93,5900.00,2055.95
10101,GSD General,1,Administrative,01101213,ADM NCAC Local Match,501182,Cafe Plan Pre-Tax Savings,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,105.15
10101,GSD General,1,Administrative,01101213,ADM NCAC Local Match,502312,TBI Background Check Service,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.65,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101213,ADM NCAC Local Match,502321,NCAC Professional Service,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1000.00
10101,GSD General,1,Administrative,01101213,ADM NCAC Local Match,502450,Employee Travel,0.00,0.00,0.00,0.00,0.00,0.00,2300.00,0.00,2300.00,0.00,2300.00,0.00
10101,GSD General,1,Administrative,01101213,ADM NCAC Local Match,502451,Employee Out-of-town Travel,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,271.90,0.00,0.00
10101,GSD General,1,Administrative,01101213,ADM NCAC Local Match,502453,Employee Local Travel/Park,0.00,0.00,0.00,0.00,0.00,0.00,0.00,246.17,0.00,322.87,0.00,0.00
10101,GSD General,1,Administrative,01101213,ADM NCAC Local Match,502502,Allowance-Cell/Mobile Devices,0.00,0.00,0.00,0.00,0.00,0.00,0.00,414.00,0.00,552.00,0.00,460.00
10101,GSD General,1,Administrative,01101213,ADM NCAC Local Match,502520,Postage & Delivery Srvc,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.38,0.00,22.11
10101,GSD General,1,Administrative,01101213,ADM NCAC Local Match,502701,Printing/Binding,0.00,0.00,0.00,0.00,0.00,0.00,0.00,105.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101213,ADM NCAC Local Match,502801,Advertising & Promot'n,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7895.32
10101,GSD General,1,Administrative,01101213,ADM NCAC Local Match,502910,Building Maintenance Srvc,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,641.05,0.00,1274.00
10101,GSD General,1,Administrative,01101213,ADM NCAC Local Match,502920,Other Rpr & Maint Srvc,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1274.44,0.00,728.70,0.00,0.00
10101,GSD General,1,Administrative,01101213,ADM NCAC Local Match,502951,Info Systems Charge,0.00,0.00,0.00,0.00,0.00,0.00,0.00,535.74,0.00,1083.54,0.00,4031.99
10101,GSD General,1,Administrative,01101213,ADM NCAC Local Match,502957,Telecmmnct'n Charge,0.00,0.00,0.00,0.00,0.00,0.00,0.00,287.58,0.00,347.18,0.00,391.24
10101,GSD General,1,Administrative,01101213,ADM NCAC Local Match,503100,Offc & Admin Supply,0.00,0.00,0.00,0.00,0.00,0.00,0.00,177.51,0.00,34.75,0.00,0.00
10101,GSD General,1,Administrative,01101213,ADM NCAC Local Match,503120,Computer Software (non-cap),0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.50,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101213,ADM NCAC Local Match,503130,Computer Hardware <$10K,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1281.53,0.00,88.79
10101,GSD General,1,Administrative,01101213,ADM NCAC Local Match,505207,Insurance-Unemployment Comp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101213,ADM NCAC Local Match,505233,Rent Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,225.71,0.00,335.71,0.00,311.53
10101,GSD General,1,Administrative,01101213,ADM NCAC Local Match,505955,Insurance-Liab/PropDmg,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,0.00,14.87,0.00,4.55
10101,GSD General,1,Administrative,01101213,ADM NCAC Local Match,505957,Insurance-Premium J&L,0.00,0.00,0.00,0.00,0.00,0.00,0.00,330.57,0.00,512.86,0.00,156.82
10101,GSD General,1,Administrative,01101213,ADM NCAC Local Match,505960,Insurance-IOD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.04,0.00,14.87,0.00,0.00
10101,GSD General,1,Administrative,01101213,ADM NCAC Local Match,531001,Transfer Operational,95600.00,71558.37,95600.00,95014.37,245600.00,231375.96,495600.00,269949.88,345600.00,89100.18,345600.00,345599.49
10101,GSD General,1,Administrative,01101213,ADM NCAC Local Match,543001,NCAC Administrative Charges,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9615.48,0.00,608.37
10101,GSD General,1,Administrative,01101218,ADM District Energy System,531001,Transfer Operational,1958300.00,1958300.00,1849500.00,1849500.00,1794000.00,1794000.00,1722000.00,1722000.00,1690300.00,1690300.00,1640300.00,1640300.00
10101,GSD General,1,Administrative,01101221,ADM Subsidy Nashville Arena,502617,SPA,5851500.00,5851500.00,5851500.00,5851500.00,5851500.00,5851500.00,5851500.00,5851500.00,4851500.00,4851500.00,3201500.00,1867541.69
10101,GSD General,1,Administrative,01101222,ADM Stadium Maintenance,502617,SPA,650000.00,650000.00,650000.00,650000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00,1000000.00
10101,GSD General,1,Administrative,01101224,ADM Contingency Subrogation,505330,Awrd Rwrd Royalty,100000.00,0.00,100000.00,0.00,100000.00,0.00,100000.00,0.00,100000.00,0.00,100000.00,0.00
10101,GSD General,1,Administrative,01101225,ADM GSD Debt Transfer-Stadium,531501,Transfer Stadium Debt,3200000.00,3200000.00,3200000.00,3200000.00,3200000.00,3200000.00,3200000.00,3200000.00,3200000.00,3200000.00,3200000.00,3200000.00
10101,GSD General,1,Administrative,01101227,ADM HIPPA Compliance,502229,Management Consultant,80000.00,80000.00,80000.00,44853.28,80000.00,39318.21,80000.00,428.34,80000.00,16100.98,40000.00,0.00
10101,GSD General,1,Administrative,01101228,ADM Affordable Housing Develop,502226,Engineering Service (non-cap,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26141.93,0.00,5990.00,0.00,0.00
10101,GSD General,1,Administrative,01101228,ADM Affordable Housing Develop,505301,Grant Contribute & Award,0.00,0.00,0.00,0.00,0.00,0.00,45000.00,0.00,18800.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101230,ADM * Stormwater Fees Conting,502111,Stormwater,155000.00,120.00,50000.00,120.00,49000.00,3061.78,45900.00,472.50,314200.00,139.00,0.00,0.00
10101,GSD General,1,Administrative,01101233,ADM Subsidy Farmer's Mkt,531001,Transfer Operational,285400.00,285400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101233,ADM Subsidy Farmer's Mkt,531170,Transfer Farm Mkt Subsidy,259600.00,259600.00,859500.00,859500.00,837900.00,837900.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101237,ADM Commuter Rail,505320,Contribute/Grant Agency,1500000.00,1500000.00,1500000.00,1500000.00,1500000.00,1500000.00,1500000.00,1499999.28,1500000.00,1500000.00,1500000.00,1500000.00
10101,GSD General,1,Administrative,01101238,ADM National League Cities,505320,Contribute/Grant Agency,0.00,0.00,250000.00,250000.00,450000.00,450000.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101242,ADM Commty Garden Grant Progrm,505320,Contribute/Grant Agency,25000.00,24922.39,25000.00,24999.95,50000.00,49724.55,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101298,ADM Contingency Local Match,502986,Administrative,0.00,0.00,0.00,0.00,0.00,0.00,119000.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101301,ADM Insurance Reserve,505951,Insurance-Buildings,256600.00,256600.00,600200.00,600200.00,670200.00,670200.00,707500.00,707500.00,707500.00,707500.00,507500.00,507500.00
10101,GSD General,1,Administrative,01101301,ADM Insurance Reserve,505955,Insurance-Liab/PropDmg,1074700.00,1074700.00,1075100.00,1075100.00,1429400.00,1429400.00,1917600.00,1917600.00,1917600.00,1917600.00,117600.00,117600.00
10101,GSD General,1,Administrative,01101301,ADM Insurance Reserve,505957,Insurance-Premium J&L,0.00,0.00,6500.00,6500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101302,ADM*Surety Bonds,505959,Insurance-Surety Bond,17300.00,17300.00,17300.00,17300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101303,ADM Corp Dues/Contribution,502229,Management Consultant,0.00,66000.00,72000.00,72000.00,72000.00,72000.00,72000.00,116450.00,207100.00,176882.43,217300.00,245599.98
10101,GSD General,1,Administrative,01101303,ADM Corp Dues/Contribution,502884,Membership Dues,509300.00,362787.83,428000.00,379089.49,438400.00,368825.52,442900.00,377837.97,463500.00,450719.95,476200.00,470549.41
10101,GSD General,1,Administrative,01101303,ADM Corp Dues/Contribution,505320,Contribute/Grant Agency,0.00,15000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101304,ADM Subsidy MTA,502614,MTA,33370600.00,33370600.00,36370600.00,36370600.00,40158600.00,40158600.00,42013600.00,42013600.00,48635900.00,48635900.00,48635900.00,48635900.00
10101,GSD General,1,Administrative,01101308,ADM Judgments and Losses,505957,Insurance-Premium J&L,2029900.00,2029900.00,1416100.00,1416100.00,1360100.00,1360100.00,3860100.00,3860100.00,1760100.00,1760100.00,1760100.00,1760100.00
10101,GSD General,1,Administrative,01101315,ADM PayPlan Improvements,501109,Longevity,318500.00,0.00,350000.00,0.00,71300.00,0.00,142900.00,0.00,142900.00,0.00,285800.00,0.00
10101,GSD General,1,Administrative,01101315,ADM PayPlan Improvements,501112,Pay Plan Improvement,411500.00,0.00,409900.00,0.00,196900.00,0.00,1429600.00,0.00,1212400.00,0.00,-290200.00,0.00
10101,GSD General,1,Administrative,01101315,ADM PayPlan Improvements,531001,Transfer Operational,0.00,0.00,0.00,0.00,0.00,0.00,271800.00,0.00,230300.00,0.00,94600.00,12800.00
10101,GSD General,1,Administrative,01101326,ADM Property Tax Relief Progrm,505303,Cntribute/Grant Person,2918800.00,3052020.60,3200000.00,3200000.00,3400000.00,2595319.57,3400000.00,2770389.76,3550000.00,2699812.13,3550000.00,2604009.30
10101,GSD General,1,Administrative,01101396,ADM Travel,502450,Employee Travel,-29642.31,0.00,-117577.08,0.00,25000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101396,ADM Travel,502451,Employee Out-of-town Travel,183859.31,102445.14,217772.93,120715.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101396,ADM Travel,502452,Employee Air Travel,45519.00,21890.17,69276.15,31766.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101396,ADM Travel,502883,Registration,67964.00,30017.20,98228.00,35685.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101408,ADM Budget Adjustment Savings,590002,Budget Adjustment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-479700.00,0.00
10101,GSD General,1,Administrative,01101412,ADM Post Audit,502224,Accounting Service,1358500.00,1054716.25,1369300.00,869514.00,1358500.00,894162.00,1139200.00,999300.00,1189200.00,776810.00,1439200.00,882740.00
10101,GSD General,1,Administrative,01101412,ADM Post Audit,502229,Management Consultant,0.00,354330.42,0.00,98025.00,70000.00,116029.00,0.00,158790.25,0.00,57429.00,75000.00,114279.88
10101,GSD General,1,Administrative,01101412,ADM Post Audit,502231,Auditing Service,46900.00,0.00,-350000.00,0.00,-353100.00,0.00,0.00,0.00,0.00,0.00,0.00,105159.31
10101,GSD General,1,Administrative,01101412,ADM Post Audit,502314,Pre-Employment Checks,0.00,84.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101412,ADM Post Audit,502520,Postage & Delivery Srvc,2000.00,0.00,2000.00,0.00,2000.00,0.00,2000.00,0.00,2000.00,0.00,2000.00,0.00
10101,GSD General,1,Administrative,01101412,ADM Post Audit,502701,Printing/Binding,16500.00,2814.65,16500.00,2408.00,16500.00,2040.00,16500.00,1785.00,16500.00,0.00,16500.00,697.94
10101,GSD General,1,Administrative,01101412,ADM Post Audit,502881,Tuit'n Reg & Mmbrshp Dues,3000.00,0.00,3000.00,0.00,3000.00,0.00,3000.00,0.00,3000.00,0.00,3000.00,0.00
10101,GSD General,1,Administrative,01101412,ADM Post Audit,502883,Registration,0.00,1095.00,0.00,1095.00,0.00,1095.00,0.00,1095.00,0.00,1095.00,0.00,1095.00
10101,GSD General,1,Administrative,01101412,ADM Post Audit,503050,Host & Hostess,0.00,207.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101412,ADM Post Audit,503100,Offc & Admin Supply,300.00,0.00,300.00,0.00,300.00,0.00,300.00,0.00,300.00,0.00,300.00,0.00
10101,GSD General,1,Administrative,01101416,ADM Subsidy Advance Planning,502229,Management Consultant,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16667.00,8300.00,0.00
10101,GSD General,1,Administrative,01101416,ADM Subsidy Advance Planning,502884,Membership Dues,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,173700.00
10101,GSD General,1,Administrative,01101416,ADM Subsidy Advance Planning,503001,Supplies & Materials,5700.00,0.00,11300.00,0.00,16900.00,0.00,22500.00,0.00,25000.00,0.00,25000.00,0.00
10101,GSD General,1,Administrative,01101416,ADM Subsidy Advance Planning,531001,Transfer Operational,136900.00,136945.25,127000.00,127045.25,127000.00,127045.25,159700.00,134749.78,223700.00,223647.50,223700.00,50000.00
10101,GSD General,1,Administrative,01101424,ADM Greer Stadium Maintenance,502617,SPA,0.00,0.00,0.00,250000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101424,ADM Greer Stadium Maintenance,505320,Contribute/Grant Agency,250000.00,250000.00,250000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101426,ADM Subsidy Hospital Authority,502613,Hospital Authority,43917800.00,43917800.00,35000000.00,35000000.00,45000000.00,45000000.00,51000000.00,51000000.00,52141000.00,48141000.00,46112100.00,44006004.81
10101,GSD General,1,Administrative,01101428,ADM Subsidy Muni Auditorium,531001,Transfer Operational,415000.00,415000.00,549000.00,549000.00,444500.00,444500.00,400000.00,400000.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101430,ADM Pay Plan Study HR,502229,Management Consultant,200000.00,200210.00,100000.00,70058.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101432,ADM Subsidy BLTC Mgmt Contract,502229,Management Consultant,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3000000.00,3500000.00,3500000.00,3500000.00,3492008.00
10101,GSD General,1,Administrative,01101432,ADM Subsidy BLTC Mgmt Contract,502613,Hospital Authority-BLTC,0.00,0.00,0.00,0.00,0.00,0.00,3000000.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101433,ADM Knowles Home Mgmt Contract,502229,Management Consultant,0.00,0.00,0.00,0.00,0.00,0.00,540000.00,784957.17,2000000.00,1896903.21,2000000.00,1851390.14
10101,GSD General,1,Administrative,01101433,ADM Knowles Home Mgmt Contract,505213,Legal Settlement,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16000.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101481,ADM Cont'g Vacant Space Ops,502984,Facilities Maint & Security,3577400.00,3577400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101485,ADM Cont'g ADA Operations,502984,Facilities Maint & Security,381500.00,381500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,502611,MDHA Property Tax Increments,6727700.00,6939188.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,505101,Cashier Shortages,0.00,1983.00,0.00,0.00,0.00,0.00,0.00,0.63,0.00,0.00,0.00,0.05
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,505102,Other Non-Operating Expense,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,505174,Interest Expense MIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,505181,Discounts Available,0.00,-4055.90,0.00,-3515.30,0.00,-2422.67,0.00,-3875.69,0.00,-3028.46,0.00,-617.65
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,505182,Discounts Lost,0.00,3807.14,0.00,3384.37,0.00,2374.83,0.00,3859.69,0.00,3016.17,0.00,617.65
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,531001,Transfer Operational,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.88,0.00,0.00
10101,GSD General,1,Administrative,01101499,ADM GSD General Revenue,531014,Transfer 4%,26373400.00,26782337.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
