School Name,Category,Street Address,City,State,ZIP Code,Students,Grant Category,Organization Name,Activity Type,Fiscal Year,Mapped Location
Norman Binkley Elementary School,MNPS,4700 West Longdale Drive,Nashville,TN,37211,140,Basic Operating,Tennessee Performing Arts Center,,FY16,"4700 West Longdale Drive
Nashville, TN 37211
(36.076896, -86.747892)"
Una Elementary School,MNPS,2018 Murfreesboro Pike,Nashville,TN,37217,166,Arts Access,Tennessee Performing Arts Center,,FY16,"2018 Murfreesboro Pike
Nashville, TN 37217
(36.095161, -86.654176)"
St. George's Kindergarten,Private,4715 Harding Pike,Nashville,TN,37205,184,Basic Operating,Global Education Center,,FY16,"4715 Harding Pike
Nashville, TN 37205
(36.120753, -86.853401)"
Amqui Elementary School,MNPS,319 Anderson Lane,Madison,TN,37115,135,Basic Operating,Nashville Symphony,,FY16,"319 Anderson Lane
Madison, TN 37115
(36.273163, -86.703988)"
Robert E. Lillard Elementary School,MNPS,3200 Kings Lane,Nashville,TN,37218,1,Basic Operating,W.O. Smith Music School,Out of School,FY16,"3200 Kings Lane
Nashville, TN 37218
(36.219935, -86.826648)"
Thurgood Marshall Middle Prep,MNPS,5832 Pettus Road,Antioch,TN,37013,438,Arts Access,Nashville Children's Theatre,In-School,FY17,"5832 Pettus Road
Antioch, TN 37013
(36.022414, -86.664733)"
Ezell-Harding Christian School,Private,574 Bell Road,Antioch,TN,37013,1,Basic Operating,Choral Arts Link,,FY16,"574 Bell Road
Antioch, TN 37013
(36.065115, -86.637002)"
Middle College High School,MNPS,120 White Bridge Road,Nashville,TN,37209,7,Arts Access,"Native American Indian Association of TN, Inc.",,FY16,"120 White Bridge Road
Nashville, TN 37209
(36.134879, -86.858326)"
Croft Design Center Middle Prep,MNPS,482 Elysian Fields Road,Nashville,TN,37211,433,Basic Operating,Moves & Grooves,In-School,FY17,"482 Elysian Fields Road
Nashville, TN 37211
(36.084443, -86.736871)"
Apollo Middle Prep,MNPS,631 Richards Road,Antioch,TN,37013,16,After-School Arts,Nashville Children's Theatre,Out of School,FY16,"631 Richards Road
Antioch, TN 37013
(36.067445, -86.664309)"
St. Bernard Academy,Private,2304 Bernard Avenue,Nashville,TN,37212,352,Basic Operating,Nashville Opera,In-School,FY17,"2304 Bernard Avenue
Nashville, TN 37212
(36.13163, -86.805055)"
Pearl Cohn Enternationment Magnet High School,MNPS,904 26th Avenue North,Nashville,TN,37208,15,Arts Access,Oasis Center,Out of School,FY17,"904 26th Avenue North
Nashville, TN 37208
(36.164278, -86.816051)"
John Early Museum Magnet Middle Prep,MNPS,1000 Cass Street,Nashville,TN,37208,125,After-School Arts,National Museum of African American Music,Out of School,FY16,"1000 Cass Street
Nashville, TN 37208
(36.186443, -86.804661)"
Cambridge Early Learning Center,Pre-K/ELC,2325 Hickory Highlands Drive,Nashville,TN,37013,160,Basic Operating,Global Education Center,In-School,FY17,"2325 Hickory Highlands Drive
Nashville, TN 37013
(36.060835, -86.641835)"
Abintra Montessori School,Private,914 Davidson Drive,Nashville,TN,37205,3,Arts Access,Global Education Center,Out of School,FY17,"914 Davidson Drive
Nashville, TN 37205
(36.118209, -86.899237)"
Explore! Community School,MNPS,217 South 10th Street,Nashville,TN,37206,180,Basic Operating,Nashville Opera,In-School,FY17,"217 South 10th Street
Nashville, TN 37206
(36.174536, -86.751919)"
Stanford Montessori Elementary School,MNPS,2417 Maplecrest Drive,Nashville,TN,37214,254,Basic Operating,Nashville Children's Theatre,In-School,FY17,"2417 Maplecrest Drive
Nashville, TN 37214
(36.177508, -86.682922)"
Creswell Middle Prep School of the Arts,MNPS,3500 John Mallette Drive,Nashville,TN,37218,96,Basic Operating,Frist Center for the Visual Arts,In-School,FY17,"3500 John Mallette Drive
Nashville, TN 37218
(36.195104, -86.838212)"
Joelton Middle Prep,MNPS,3500 Old Clarksville Pike,Joelton,TN,37080,2,Basic Operating,W.O. Smith Music School,Out of School,FY17,"3500 Old Clarksville Pike
Joelton, TN 37080
(36.313358, -86.865768)"
Shwab Elementary School,MNPS,1500 Dickerson Pike,Nashville,TN,37207,49,Arts Access,Nashville Children's Theatre,,FY16,"1500 Dickerson Pike
Nashville, TN 37207
(36.199361, -86.770285)"
Father Ryan High School,Private,700 Norwood Drive,Nashville,TN,37204,45,Basic Operating,Nashville Children's Theatre,In-School,FY17,"700 Norwood Drive
Nashville, TN 37204
(36.099137, -86.768156)"
The Academy at Hickory Hollow,MNPS,5248 Hickory Hollow Pkwy,Antioch,TN,37013,25,Basic Operating,Tennessee Performing Arts Center,,FY16,"5248 Hickory Hollow Pkwy
Antioch, TN 37013
(36.048481, -86.657333)"
LEAD Prep Southeast,Private,531 Metroplex Drive,Nashville,TN,37211,150,Basic Operating,Nashville Children's Theatre,,FY16,"531 Metroplex Drive
Nashville, TN 37211
(36.092934, -86.703002)"
Intrepid College Prep,MNPS,5432 Bell Forge Lane East,Antioch,TN,37013,50,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"5432 Bell Forge Lane East
Antioch, TN 37013
(36.050049, -86.64653)"
Glencliff Elementary School,MNPS,120 Antioch Pike,Nashville,TN,37211,37,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"120 Antioch Pike
Nashville, TN 37211
(36.101157, -86.722664)"
Montgomery Bell Academy,Private,4001 Harding Pike,Nashville,TN,37205,25,Basic Operating,Nashville Shakespeare Festival,Out of School,FY17,"4001 Harding Pike
Nashville, TN 37205
(36.13064, -86.836801)"
St. Cecilia Academy,Private,4210 Harding Pike,Nashville,TN,37205,60,Basic Operating,Nashville Shakespeare Festival,In-School,FY17,"4210 Harding Pike
Nashville, TN 37205
(36.129287, -86.840639)"
Oliver Middle Prep,MNPS,6211 Nolensville Pike,Nashville,TN,37211,75,After-School Arts,Tennessee Performing Arts Center,Out of School,FY16,"6211 Nolensville Pike
Nashville, TN 37211
(36.021676, -86.71167)"
Hillsboro High School,MNPS,400 Davidson Road,Nashville,TN,37205,23,Basic Operating,Nashville Ballet,,FY16,"400 Davidson Road
Nashville, TN 37205
(36.117025, -86.873648)"
East Nashville Magnet Middle School,MNPS,2000 Greenwood Avenue,Nashville,TN,37206,14,Basic Operating,W.O. Smith Music School,Out of School,FY16,"2000 Greenwood Avenue
Nashville, TN 37206
(36.189048, -86.732515)"
Crieve Hall Elementary School,MNPS,498 Hogan Road,Nashville,TN,37220,97,Basic Operating,Nashville Children's Theatre,,FY16,"498 Hogan Road
Nashville, TN 37220
(36.065173, -86.757468)"
McGavock Elementary School,MNPS,275 McGavock Pike,Nashville,TN,37214,520,Basic Operating,Country Music Foundation,In-School,FY17,"275 McGavock Pike
Nashville, TN 37214
(36.160392, -86.681478)"
Nashville Christian School,Private,7555 Sawyer Brown Road,Nashville,TN,37221,180,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"7555 Sawyer Brown Road
Nashville, TN 37221
(36.106683, -86.930689)"
Homeschool,Home Schooled,,,TN,,43,Basic Operating,W.O. Smith Music School,Out of School,FY16,"TN
(35.842998, -86.343226)"
Cambridge Early Learning Center,Pre-K/ELC,2325 Hickory Highlands Drive,Nashville,TN,37013,197,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"2325 Hickory Highlands Drive
Nashville, TN 37013
(36.060835, -86.641835)"
Martin Luther King Jr. Magnet High School,MNPS,613 17th Avenue North,Nashville,TN,37203,24,Basic Operating,W.O. Smith Music School,Out of School,FY16,"613 17th Avenue North
Nashville, TN 37203
(36.162085, -86.800393)"
Tulip Grove Elementary School,MNPS,441 Tyler Drive,Hermitage,TN,37076,202,Basic Operating,Nashville Children's Theatre,,FY16,"441 Tyler Drive
Hermitage, TN 37076
(36.198176, -86.611442)"
Hull-Jackson Montessori Magnet School,MNPS,1015 Kellow Street,Nashville,TN,37203,15,Basic Operating,Tennessee Women's Theater Project,Out of School,FY17,"1015 Kellow Street
Nashville, TN 37203
(36.190768, -86.807322)"
LEAD Prep Southeast,MNPS,531 Metroplex Drive,Nashville,TN,37211,7,Arts Access,Nashville Children's Theatre,,FY16,"531 Metroplex Drive
Nashville, TN 37211
(36.092934, -86.703002)"
Bellevue Middle School,MNPS,656 Colice Jeanne Road,Nashville,TN,37221,3,Basic Operating,W.O. Smith Music School,Out of School,FY17,"656 Colice Jeanne Road
Nashville, TN 37221
(36.072144, -86.934617)"
Hillwood High School,MNPS,400 Davidson Road,Nashville,TN,37205,1,Basic Operating,Cheekwood Botanical Garden and Museum of Art,,FY16,"400 Davidson Road
Nashville, TN 37205
(36.117025, -86.873648)"
First Presbyterian Preschool,Pre-K/ELC,4815 Franklin Pike,Nashville,TN,37220,38,Basic Operating,Nashville Children's Theatre,In-School,FY17,"4815 Franklin Pike
Nashville, TN 37220
(36.079295, -86.77283)"
Two Rivers Middle Prep,MNPS,2991 McGavock Pike,Nashville,TN,37214,1,After-School Arts,Frist Center for the Visual Arts,Out of School,FY16,"2991 McGavock Pike
Nashville, TN 37214
(36.195903, -86.673373)"
Akiva School,Private,809 Percy Warner Blvd,Nashville,TN,37205,90,Basic Operating,Nashville Opera Association,,FY16,"809 Percy Warner Blvd
Nashville, TN 37205
(36.083553, -86.889891)"
Warner Enhanced Option Elementary School,MNPS,626 Russell Street,Nashville,TN,37206,1,Basic Operating,W.O. Smith Music School,Out of School,FY16,"626 Russell Street
Nashville, TN 37206
(36.172254, -86.760445)"
Creswell Middle Prep School of the Arts,MNPS,3500 John Mallette Drive,Nashville,TN,37218,4,Basic Operating,Choral Arts Link,Out of School,FY17,"3500 John Mallette Drive
Nashville, TN 37218
(36.195104, -86.838212)"
KIPP Kirkpatrick Elementary School,MNPS,1000 Sevier Street,Nashville,TN,37206,8,Basic Operating,W.O. Smith Music School,Out of School,FY17,"1000 Sevier Street
Nashville, TN 37206
(36.168341, -86.752899)"
St. Ann's Catholic School,Private,5105 Charlotte Avenue,Nashville,TN,37209,180,Basic Operating,Global Education Center,,FY16,"5105 Charlotte Avenue
Nashville, TN 37209
(36.151941, -86.849314)"
Whites Creek High School,MNPS,7277 Old Hickory Blvd,Whites Creek,TN,37189,50,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"7277 Old Hickory Blvd
Whites Creek, TN 37189
(36.273182, -86.818339)"
University School of Nashville,Private,2000 Edgehill Avenue,Nashville,TN,37212,25,Basic Operating,Nashville Repertory Theatre,,FY16,"2000 Edgehill Avenue
Nashville, TN 37212
(36.143997, -86.798995)"
Napier Enhanced Option Elementary School,MNPS,60 Fairfield Avenue,Nashville,TN,37210,505,Basic Operating,Nashville Children's Theatre,In-School,FY17,"60 Fairfield Avenue
Nashville, TN 37210
(36.15001, -86.757067)"
Woodmont Christian Preschool,Pre-K/ELC,3601 Hillsboro Pike,Nashville,TN,37215,46,Basic Operating,Nashville Children's Theatre,In-School,FY17,"3601 Hillsboro Pike
Nashville, TN 37215
(36.111648, -86.811206)"
Dan Mills Elementary School,MNPS,4106 Kennedy Avenue,Nashville,TN,37216,1,Basic Operating,Choral Arts Link,,FY16,"4106 Kennedy Avenue
Nashville, TN 37216
(36.218646, -86.717495)"
Harpeth Hall School,Private,3801 Hobbs Road,Nashville,TN,37205,115,Basic Operating,Southern Word,,FY16,"3801 Hobbs Road
Nashville, TN 37205
(36.103441, -86.840497)"
Abintra Montessori School,Private,914 Davidson Drive,Nashville,TN,37205,60,Basic Operating,Global Education Center,In-School,FY17,"914 Davidson Drive
Nashville, TN 37205
(36.118209, -86.899237)"
Joelton Elementary School,MNPS,7141 Whites Creek Pike,Joelton,TN,37080,86,Basic Operating,Country Music Foundation,,FY16,"7141 Whites Creek Pike
Joelton, TN 37080
(36.316174, -86.865924)"
University School of Nashville,Private,2000 Edgehill Avenue,Nashville,TN,37212,99,Basic Operating,Frist Center for the Visual Arts,,FY16,"2000 Edgehill Avenue
Nashville, TN 37212
(36.143997, -86.798995)"
Smithson Craighead Academy,MNPS,730 Neelys Bend Road,Madison,TN,37115,2,Basic Operating,Global Education Center,Out of School,FY17,"730 Neelys Bend Road
Madison, TN 37115
(36.252838, -86.695972)"
Gateway Elementary School,MNPS,1524 Monticello Avenue,Madison,TN,37115,64,Basic Operating,Frist Center for the Visual Arts,,FY16,"1524 Monticello Avenue
Madison, TN 37115
(36.292263, -86.71023)"
Ross Early Learning Center,Pre-K/ELC,601 McFerrin Avenue,Nashville,TN,37206,68,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"601 McFerrin Avenue
Nashville, TN 37206
(36.180252, -86.755042)"
Madison Middle Prep,MNPS,300 West Old Hickory Blvd,Madison,TN,37115,1,Basic Operating,W.O. Smith Music School,Out of School,FY17,"300 West Old Hickory Blvd
Madison, TN 37115
(36.263489, -86.716018)"
Apollo Middle Prep,MNPS,631 Richards Road,Antioch,TN,37013,90,Basic Operating,Nashville Symphony,,FY16,"631 Richards Road
Antioch, TN 37013
(36.067445, -86.664309)"
Nashville School of the Arts High School,MNPS,1250 Foster Avenue,Nashville,TN,37210,16,Basic Operating,W.O. Smith Music School,Out of School,FY17,"1250 Foster Avenue
Nashville, TN 37210
(36.131492, -86.741669)"
Hull-Jackson Montessori Magnet School,MNPS,1015 Kellow Street,Nashville,TN,37208,200,Basic Operating,Nashville Ballet,Out of School,FY16,"1015 Kellow Street
Nashville, TN 37208
(36.190768, -86.807322)"
Warner Enhanced Option Elementary School,MNPS,626 Russell Street,Nashville,TN,37206,360,Basic Operating,Nashville Ballet,In-School,FY17,"626 Russell Street
Nashville, TN 37206
(36.172254, -86.760445)"
Meigs Magnet Middle Prep,MNPS,713 Ramsey Street,Nashville,TN,37206,2,Basic Operating,Actors Bridge Ensemble,Out of School,FY17,"713 Ramsey Street
Nashville, TN 37206
(36.17603, -86.760346)"
Westminster School for Young Children,Pre-K/ELC,3900 West End Avenue,Nashville,TN,37205,93,Basic Operating,Nashville Children's Theatre,In-School,FY17,"3900 West End Avenue
Nashville, TN 37205
(36.131513, -86.834049)"
Stratton Elementary School,MNPS,310 West Old Hickory Blvd,Nashville,TN,37115,710,Basic Operating,Nashville Ballet,In-School,FY17,"310 West Old Hickory Blvd
Nashville, TN 37115
(36.263561, -86.716661)"
Napier Enhanced Option Elementary School,MNPS,60 Fairfield Avenue,Nashville,TN,37210,50,Basic Operating,"Youth Empowerment through Arts and Humanities, Inc.",Out of School,FY16,"60 Fairfield Avenue
Nashville, TN 37210
(36.15001, -86.757067)"
Hunters Lane High School,MNPS,1150 Hunters Lane,Nashville,TN,37207,10,Basic Operating,Southern Word,,FY16,"1150 Hunters Lane
Nashville, TN 37207
(36.277943, -86.753492)"
Paragon Mills Elementary School,MNPS,260 Paragon Mills Road,Nashville,TN,37211,160,Basic Operating,Cheekwood Botanical Garden and Museum of Art,,FY16,"260 Paragon Mills Road
Nashville, TN 37211
(36.087048, -86.707014)"
Goodpasture Christian School,Private,619 West Due West Avenue,Madison,TN,37115,1,Basic Operating,Nashville Jazz Workshop,Out of School,FY16,"619 West Due West Avenue
Madison, TN 37115
(36.249737, -86.739521)"
Tusculum Elementary School,MNPS,4917 Nolensville Road,Nashville,TN,37211,6,Arts Access,Global Education Center,Out of School,FY17,
Rosebank STEM School,MNPS,1012 Preston Drive,Nashville,TN,37206,2,Arts Access,"East Nashville Hope Exchange, Inc.",Out of School,FY16,"1012 Preston Drive
Nashville, TN 37206
(36.184389, -86.717303)"
Charlotte Park Elementary School,MNPS,480 Annex Avenue,Nashville,TN,37209,95,Basic Operating,Nashville Children's Theatre,,FY16,"480 Annex Avenue
Nashville, TN 37209
(36.15212, -86.88324)"
Pearl Cohn Enternationment Magnet High School,MNPS,904 26th Avenue North,Nashville,TN,37208,408,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"904 26th Avenue North
Nashville, TN 37208
(36.164278, -86.816051)"
Antioch High School,MNPS,1900 Hobson Pike,Antioch,TN,37013,117,Basic Operating,Southern Word,In-School,FY17,"1900 Hobson Pike
Antioch, TN 37013
(36.047414, -86.60038)"
Old Center Elementary School,MNPS,1245 Dickerson Pike South,Goodlettsville,TN,37072,60,Basic Operating,Nashville Children's Theatre,,FY16,"1245 Dickerson Pike South
Goodlettsville, TN 37072
(36.290781, -86.737701)"
Donelson Christian Academy,Private,300 Danyacrest Drive,Nashville,TN,37214,60,Basic Operating,Nashville Symphony,,FY16,"300 Danyacrest Drive
Nashville, TN 37214
(36.183834, -86.650836)"
Eakin Elementary School,MNPS,2500 Fairfax Avenue,Nashville,TN,37212,87,After-School Arts,Tennessee Performing Arts Center,Out of School,FY17,"2500 Fairfax Avenue
Nashville, TN 37212
(36.13475, -86.807413)"
Stratford STEM Magnet School Upper Campus,MNPS,1800 Stratford Avenue,Nashville,TN,37216,141,Basic Operating,Southern Word,,FY16,"1800 Stratford Avenue
Nashville, TN 37216
(36.198164, -86.717083)"
Gra-Mar Middle Prep,MNPS,575 Joyce Lane,Nashville,TN,37216,26,After-School Arts,Southern Word,Out of School,FY17,"575 Joyce Lane
Nashville, TN 37216
(36.232399, -86.745515)"
First Presbyterian Preschool,Pre-K/ELC,4815 Franklin Pike,Nashville,TN,37220,24,Basic Operating,Nashville Children's Theatre,,FY16,"4815 Franklin Pike
Nashville, TN 37220
(36.079295, -86.77283)"
Haynes Middle School,MNPS,510 West Trinity Lane,Nashville,TN,37207,97,Basic Operating,Nashville Symphony,In-School,FY17,"510 West Trinity Lane
Nashville, TN 37207
(36.207377, -86.790851)"
Dodson Elementary School,MNPS,4401 Chandler Road,Hermitage,TN,37076,50,Arts Access,"Native American Indian Association of TN, Inc.",,FY16,"4401 Chandler Road
Hermitage, TN 37076
(36.191257, -86.603868)"
Middle College High School,MNPS,120 White Bridge Road,Nashville,TN,37209,2,Basic Operating,W.O. Smith Music School,Out of School,FY16,"120 White Bridge Road
Nashville, TN 37209
(36.134879, -86.858326)"
Westminster School for Young Children,Private,3900 West End Avenue,Nashville,TN,37205,192,Basic Operating,Global Education Center,,FY16,"3900 West End Avenue
Nashville, TN 37205
(36.131513, -86.834049)"
Nashville School of the Arts High School,MNPS,1250 Foster Avenue,Nashville,TN,37210,24,Basic Operating,Nashville Shakespeare Festival,Out of School,FY17,"1250 Foster Avenue
Nashville, TN 37210
(36.131492, -86.741669)"
Glenn Enhanced Option Elementary School,MNPS,322 Cleveland Street,Nashville,TN,37207,170,Basic Operating,Nashville Symphony,In-School,FY17,"322 Cleveland Street
Nashville, TN 37207
(36.186975, -86.766561)"
Stanford Montessori Elementary School,MNPS,2417 Maplecrest Drive,Nashville,TN,37214,237,Basic Operating,Country Music Foundation,,FY16,"2417 Maplecrest Drive
Nashville, TN 37214
(36.177508, -86.682922)"
Cane Ridge High School,MNPS,12848 Old Hickory Boulevard,Antioch,TN,37013,18,Basic Operating,Tennessee Performing Arts Center,Out of School,FY17,"12848 Old Hickory Boulevard
Antioch, TN 37013
(36.026553, -86.615508)"
McKissack Middle Prep,MNPS,915 38th Avenue North,Nashville,TN,37209,60,Basic Operating,Nashville Ballet,Out of School,FY16,"915 38th Avenue North
Nashville, TN 37209
(36.159449, -86.830883)"
Tom Joy Head Start,Pre-K/ELC,1901 Lischey Avenue,Nashville,TN,37207,80,Arts Access,Tennessee Performing Arts Center,,FY16,"1901 Lischey Avenue
Nashville, TN 37207
(36.203865, -86.761432)"
Maplewood High School,MNPS,401 Walton Lane,Nashville,TN,37216,40,After-School Arts,Frist Center for the Visual Arts,Out of School,FY16,"401 Walton Lane
Nashville, TN 37216
(36.232997, -86.750784)"
Cockrill Elementary School,MNPS,4701 Indiana Avenue,Nashville,TN,37209,321,Basic Operating,Country Music Foundation,In-School,FY17,"4701 Indiana Avenue
Nashville, TN 37209
(36.156626, -86.84498)"
Granbery Elementary School,MNPS,5501 Hill Road,Brentwood,TN,37027,4,Arts Access,Global Education Center,Out of School,FY17,"5501 Hill Road
Brentwood, TN 37027
(36.047628, -86.752404)"
Casa Dei Montessori School,Private,7646 Hwy 70 S,Nashville,TN,37221,28,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"7646 Hwy 70 S
Nashville, TN 37221
(36.07898, -86.95197)"
John Overton High School,MNPS,4820 Franklin Road,Nashville,TN,37220,110,Basic Operating,Southern Word,In-School,FY17,"4820 Franklin Road
Nashville, TN 37220
(36.080138, -86.772727)"
Cockrill Elementary School,MNPS,4701 Indiana Avenue,Nashville,TN,37209,1,Basic Operating,W.O. Smith Music School,Out of School,FY17,"4701 Indiana Avenue
Nashville, TN 37209
(36.156626, -86.84498)"
Valor Flagship Academy,MNPS,4527 Nolensville Pike,Nashville,TN,37211,250,Creation,OZ Arts,In-School,FY17,"4527 Nolensville Pike
Nashville, TN 37211
(36.071565, -86.723703)"
Smithson Craighead Academy,MNPS,730 Neelys Bend Road,Madison,TN,37115,39,Arts Access,Tennessee Performing Arts Center,,FY16,"730 Neelys Bend Road
Madison, TN 37115
(36.252838, -86.695972)"
Montessori Academy,Private,6021 Cloverland Drive,Brentwood,TN,37027,24,Basic Operating,Nashville Children's Theatre,In-School,FY17,"6021 Cloverland Drive
Brentwood, TN 37027
(36.030902, -86.749054)"
Creswell Middle Prep School of the Arts,MNPS,3500 John Mallette Drive,Nashville,TN,37218,16,After-School Arts,PENCIL Foundation,Out of School,FY16,"3500 John Mallette Drive
Nashville, TN 37218
(36.195104, -86.838212)"
Ruby Major Elementary School,MNPS,5141 John Hagar Road,Hermitage,TN,37076,270,Basic Operating,Nashville Symphony,,FY16,"5141 John Hagar Road
Hermitage, TN 37076
(36.15773, -86.57905)"
J.E. Moss Elementary School,MNPS,4701 Bowfield Drive,Antioch,TN,37013,930,Basic Operating,Nashville Ballet,,FY16,"4701 Bowfield Drive
Antioch, TN 37013
(36.066996, -86.668993)"
Casa Azafran Early Learning Center,Pre-K/ELC,2195 Nolensville Pike,Nashville,TN,37211,8,Arts Access,GLOBAL EDUCATION CENTER,Out of School,FY16,"2195 Nolensville Pike
Nashville, TN 37211
(36.126647, -86.753004)"
Dupont Tyler Middle Prep,MNPS,432 Tyler Drive,Hermitage,TN,37076,50,Arts Access,"Belcourt Theatre, Inc",Out of School,FY16,"432 Tyler Drive
Hermitage, TN 37076
(36.19852, -86.611968)"
Nashville School of the Arts High School,MNPS,1250 Foster Avenue,Nashville,TN,37210,2,Basic Operating,Cheekwood,In-School,FY17,"1250 Foster Avenue
Nashville, TN 37210
(36.131492, -86.741669)"
Lighthouse Christian School,Private,5100 Blue Hole Road,Antioch,TN,37013,25,Basic Operating,Cheekwood,In-School,FY17,"5100 Blue Hole Road
Antioch, TN 37013
(36.05263, -86.673119)"
Glendale Elementary School,MNPS,800 Thompson Avenue,Nashville,TN,37204,8,After-School Arts,Frist Center for the Visual Arts,Out of School,FY16,"800 Thompson Avenue
Nashville, TN 37204
(36.09517, -86.784848)"
Glengarry Elementary School,MNPS,200 Finley Drive,Nashville,TN,37217,85,Basic Operating,Tennessee Performing Arts Center,,FY16,"200 Finley Drive
Nashville, TN 37217
(36.110136, -86.7059)"
Robert E. Lillard Elementary School,MNPS,3200 Kings Lane,Nashville,TN,37218,38,After-School Arts,Tennessee Performing Arts Center,Out of School,FY17,"3200 Kings Lane
Nashville, TN 37218
(36.219935, -86.826648)"
Kirkpatrick Elementary Enhanced Option School,MNPS,1000 Sevier Street,Nashville,TN,37206,256,Basic Operating,Nashville Children's Theatre,,FY16,"1000 Sevier Street
Nashville, TN 37206
(36.168341, -86.752899)"
St. Ann's Catholic School,Private,5105 Charlotte Avenue,Nashville,TN,37209,2,Basic Operating,W.O. Smith Music School,Out of School,FY17,"5105 Charlotte Avenue
Nashville, TN 37209
(36.151941, -86.849314)"
Davidson County Juvenile Detention Center,Other,100 Woodland Street,Nashville,TN,37213,45,Basic Operating,Global Education Center,In-School,FY17,"100 Woodland Street
Nashville, TN 37213
(36.169287, -86.771566)"
Martin Luther King Jr. Magnet School,MNPS,613 17th Avenue North,Nashville,TN,37203,95,Arts Access,Nashville Symphony,In-School,FY17,"613 17th Avenue North
Nashville, TN 37203
(36.162085, -86.800393)"
Oliver Middle Prep,MNPS,6211 Nolensville Pike,Nashville,TN,37211,357,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"6211 Nolensville Pike
Nashville, TN 37211
(36.021676, -86.71167)"
Glenview Elementary School,MNPS,1020 Patricia Drive,Nashville,TN,37217,2,Basic Operating,W.O. Smith Music School,Out of School,FY17,"1020 Patricia Drive
Nashville, TN 37217
(36.128499, -86.70726)"
DuPont Elementary School,MNPS,1311 9th Street,Old Hickory,TN,37138,179,Basic Operating,Nashville Children's Theatre,In-School,FY17,"1311 9th Street
Old Hickory, TN 37138
(36.261909, -86.652615)"
West End Middle Prep,MNPS,3529 West End Avenue,Nashville,TN,37205,110,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"3529 West End Avenue
Nashville, TN 37205
(36.134835, -86.824625)"
Robert Churchwell Museum Magnet Elementary School,MNPS,1625 Dr D.B. Todd Jr Blvd,Nashville,TN,37208,69,Arts Access,Tennessee Performing Arts Center,,FY16,"1625 Dr D.B. Todd Jr Blvd
Nashville, TN 37208
(36.175783, -86.809257)"
Robert Churchwell Museum Magnet Elementary School,MNPS,1625 Dr D.B. Todd Jr Blvd,Nashville,TN,37208,420,Basic Operating,Nashville Children's Theatre,,FY16,"1625 Dr D.B. Todd Jr Blvd
Nashville, TN 37208
(36.175783, -86.809257)"
Holly Street Daycare,Pre-K/ELC,1401 Holly Street,Nashville,TN,37206,16,Arts Access,Tennessee Performing Arts Center,,FY16,"1401 Holly Street
Nashville, TN 37206
(36.175814, -86.745787)"
Bell Road KinderCare,Pre-K/ELC,592 Bell Road,Antioch,TN,37013,20,Basic Operating,Global Education Center,In-School,FY17,"592 Bell Road
Antioch, TN 37013
(36.063775, -86.637295)"
Isaac Litton Middle Prep,MNPS,4601 Hedgewood Drive,Nashville,TN,37216,7,Basic Operating,W.O. Smith Music School,Out of School,FY16,"4601 Hedgewood Drive
Nashville, TN 37216
(36.22784, -86.720692)"
Lakeview Elementary Design Center,MNPS,455 Rural Hill Road,Nashville,TN,37217,57,After-School Arts,Tennessee Performing Arts Center,Out of School,FY17,"455 Rural Hill Road
Nashville, TN 37217
(36.078477, -86.629671)"
Holy Trinity Montessori,Private,8131 Old Harding Pike,Nashville,TN,37221,21,Basic Operating,Nashville Symphony,In-School,FY17,"8131 Old Harding Pike
Nashville, TN 37221
(36.033066, -86.987938)"
Robert Churchwell Museum Magnet Elementary School,MNPS,1625 Dr D.B. Todd Jr Blvd,Nashville,TN,37208,19,Basic Operating,Country Music Foundation,In-School,FY17,"1625 Dr D.B. Todd Jr Blvd
Nashville, TN 37208
(36.175783, -86.809257)"
Paragon Mills Elementary School,MNPS,260 Paragon Mills Road,Nashville,TN,37211,120,Basic Operating,Cheekwood,In-School,FY17,"260 Paragon Mills Road
Nashville, TN 37211
(36.087048, -86.707014)"
Neely's Bend College Prep,MNPS,1251 Neelys Bend Road,Madison,TN,37115,120,Basic Operating,Nashville Ballet,,FY16,"1251 Neelys Bend Road
Madison, TN 37115
(36.240212, -86.672786)"
Cora Howe School,MNPS,1928 Greenwood Avenue,Nashville,TN,37206,17,Basic Operating,Frist Center for the Visual Arts,In-School,FY17,"1928 Greenwood Avenue
Nashville, TN 37206
(36.189276, -86.734801)"
Stanford Montessori Elementary School,MNPS,2417 Maplecrest Drive,Nashville,TN,37214,1,After-School Arts,Frist Center for the Visual Arts,Out of School,FY16,"2417 Maplecrest Drive
Nashville, TN 37214
(36.177508, -86.682922)"
A New Leaf Preschool,Pre-K/ELC,6501 Pennywell Drive,Nashville,TN,37205,20,Basic Operating,Nashville Symphony,In-School,FY17,"6501 Pennywell Drive
Nashville, TN 37205
(36.115487, -86.901269)"
